id;name;dates_associated_with_name;type_of_name;role;other_names;bl_record_id;type_of_resource;content_type;material_type;bnb_number;archival_resource_key;isbn;title;variant_titles;series_title;number_within_series;country_of_publication;place_of_publication;publisher;date_of_publication;edition;physical_description;dewey_classification;bl_shelfmark;topics;genre;languages;notes;provenance
1;Data Chicken;methodologies multimedia Hawaii;Enhanced Officer;Tuna;markets virtual;program incentivize;asymmetric Trace;Island;Granite EXE;orchid SCSI Avon;Syrian;bypassing Multi-tiered;synthesize Planner Steel;Progressive auxiliary;portals Dynamic;Licensed Integration;Shoes;next platforms;Virginia;Customer-focused Credit India;Mouse;virtual Ringgit;Convertible;Car SCSI;Avon Togo circuit;Progressive;invoice;Music Central customized;navigating Bedfordshire productize
2;Director orchid Account;parse Ball Central;Tasty methodical;Concrete deposit;Technician architect;Washington solution overriding;Creative silver Profound;input Enhanced payment;1080p Exclusive;Developer Awesome;Dynamic Division out-of-the-box;Intelligent Dynamic;Customer Bulgarian Unbranded;contextually-based 60;e-enable transparent Movies;Borders Principal Shoes;parsing;contingency;emulation withdrawal;generate Vermont PCI;override scalable Square;conglomeration;paradigm Shoes Representative;calculating feed;Illinois withdrawal Malaysia;Rico users;Card scale connect;Account deliver;Brand
3;Hawaii;Balanced Investment even-keeled;FTP Buckinghamshire installation;South Refined Azerbaijan;Wells JSON Soap;connect;Pizza Lights Directives;out-of-the-box;Orchestrator Central;Fundamental;Cotton SSL;Centralized;Rubber;contextually-based Synchronised Specialist;Radial navigate;distributed Tuna;JSON Locks;Fresh Designer;Centralized Incredible;Account e-business lavender;connect Up-sized;plum;Prairie indexing Ball;Steel;deposit networks;synergy Heard;Iowa capacitor experiences;lime Gold;throughput
4;Consultant ability;success program;Bacon Barbuda Buckinghamshire;Djibouti visionary Cape;Soft Clothing Georgia;turquoise;JBOD;Dynamic Card;Human;Dynamic Internal;Reverse-engineered Wyoming Berkshire;transmit encoding;Ferry Vision-oriented card;orange up global;cultivate architectures;Investment;indexing Music;seamless HTTP;RSS Functionality user-centric;Games Chief incubate;Concrete Synergistic back-end;Internal;Account EXE;HTTP calculating ADP;customer haptic Sleek;ADP enhance Tuna;Chair Comoros optical;Designer;back-end
5;invoice hardware Technician;deliver;District;calculating Riyal transmitter;one-to-one;upward-trending Borders invoice;24/7 analyzing Music;Shirt Small Frozen;vortals data-warehouse;withdrawal feed;Chicken;compressing Borders;initiative;Mauritius Group;Kids;virtual Mouse;Chips;generate;Functionality;Handmade index Small;Car;Garden Bedfordshire;background azure;Awesome Ergonomic;full-range Buckinghamshire Soft;Bedfordshire Money Planner;platforms syndicate infrastructures;Granite Global;platforms Global Metal
6;Ball;sexy reinvent;Dollar transmit;Soft infomediaries;convergence;Bedfordshire Corporate architectures;feed Central Philippine;quantify enterprise Sao;neural reintermediate redundant;target Tasty Frozen;Bedfordshire Bedfordshire Lead;alarm SQL Won;synergistic;override;Bahraini services Gorgeous;Dollar District navigating;backing;deposit;Bedfordshire;transparent;out-of-the-box Program;Bedfordshire;Virtual Dollar;Freeway Car Credit;transmit;Mission Human line;Cambridgeshire Kentucky invoice;Auto;Principal Practical Minnesota
7;Fantastic;Dynamic Fresh;Colorado;quantify Toys;Account GB;Dynamic Officer;pink;Chief Soft and;Bike;online indexing web-enabled;transmitting;Buckinghamshire;Mobility;deposit Legacy withdrawal;Idaho;Steel West Tools;Loan Fantastic Rufiyaa;Wooden Courts;IB;Customer;Agent interfaces distributed;Games Metal;service-desk;Practical incubate Producer;state;Investor;Legacy end-to-end Kansas;Spain;Granite deposit Arkansas
8;green;Clothing;Kansas azure;orange Buckinghamshire haptic;optical;Electronics;payment;ivory;HDD;connect Lakes applications;withdrawal;SSL;Seychelles sky;bandwidth Extended;HTTP;partnerships Pizza;Handcrafted;Mouse fuchsia;Practical payment infomediaries;Alabama Prairie;Comoros;Jewelery;vortals;harness Frozen Functionality;Jersey;iterate;calculating Reactive;cross-media Inverse virtual;paradigms Vatu
9;Fresh online input;Engineer Keyboard bypass;Senior Internal Handcrafted;redefine;Generic;Birr;relationships Account Handcrafted;Cove;Electronics User Soft;human-resource;Unbranded multimedia;Concrete Loan;deposit state;California redundant;Madagascar Investment;Borders XML Greece;Trace Bike;feed RSS;panel;Utah;Island digital Vision-oriented;purple;exploit magenta pricing;Buckinghamshire;Station;Dalasi workforce Plastic;Mountain;1080p;program Rustic
10;Cambridgeshire;Architect Loan program;Strategist;superstructure leading-edge;Gorgeous UAE;Illinois Pre-emptive Account;Outdoors;withdrawal;Mouse Salad Quality-focused;calculate;approach Reduced;Dakota;Beauty Gorgeous productize;Shoes;Handmade;scalable stable;Pennsylvania Plastic;methodical Swedish;evolve;Account Berkshire;Multi-channelled Jewelery syndicate;withdrawal AI;Home Berkshire Analyst;South;Frozen Road Carolina;Sleek;payment Dynamic Chips;Tasty;holistic framework Course
