id;title;other_titles;bl_record_id;type_of_resource;content_type;material_type;bnb_number;archival_resource_key;isbn;name;dates_associated_with_name;type_of_name;role;all_names;series_title;number_within_series;country_of_publication;place_of_publication;publisher;date_of_publication;edition;physical_description;dewey_classification;bl_shelfmark;topics;genre;languages;notes;provenance
1;secondary Identity heuristic;Soap compressing application;blue Lev Data;turn-key Chair Intranet;Fantastic California;Savings;optical Mountain;Ouguiya Mouse Ergonomic;Monitored index;aggregate Unbranded;Rubber;blockchains turquoise Handmade;Data Concrete;middleware Crest;deposit Bedfordshire;grow grey multi-byte;Idaho Administrator;Buckinghamshire Wooden;Ecuador Borders synergies;Terrace Carolina Trace;gold Movies stable;system TCP;metrics;Tasty syndicate;relationships;Wooden;Analyst;Devolved Island Compatible;framework
2;Grocery transmitting bluetooth;Cambridgeshire Spurs;markets green Cambridgeshire;purple infomediaries Cambridgeshire;technologies Dynamic payment;Strategist Divide AGP;payment;models;reinvent & Movies;Grass-roots;violet reintermediate;Small;deposit California Center;Gloves Cedi;indexing Steel Rial;Concrete matrix Rial;Developer;Global withdrawal firmware;teal Handcrafted Cotton;Iraq;deliver solid expedite;Kansas synergize;Beauty parse hack;Chips;Pass neural;impactful mission-critical Operative;Account Account Sharable;Switchable;circuit Buckinghamshire
3;Borders withdrawal Riyal;B2B Pants;deliverables Cheese Marshall;SMTP bifurcated Metal;transmitting connect Handmade;Port;European Cross-platform bandwidth;5th Glens;Pants Iraqi;target e-markets Loan;plug-and-play models incremental;Rapid;Optimization Buckinghamshire redundant;Manors;Borders focus overriding;deposit Automotive XSS;Personal;payment bypassing Agent;Coordinator calculating Jersey;purple quantifying Shoes;Tuna Executive;Peso;orchid;User-centric SAS HTTP;Borders Global pixel;Shoes;Chicken invoice Stand-alone;bandwidth-monitored back-end;Communications Ball B2B
4;revolutionize Hryvnia connect;input Metrics;back;alarm multimedia;Netherlands Sports Frozen;index Strategist Soft;high-level;red Account;open-source Thailand syndicate;innovative Metal;strategy protocol;Industrial Assistant;payment;Industrial Kip;Cheese Hawaii;Market Table;24/365 metrics;Jersey Refined;Loan Persevering;ability invoice;Bacon Soft;paradigms;Car Hill;Ergonomic mindshare Buckinghamshire;Towels;deposit;Salad;mindshare attitude;Fresh
5;Borders eco-centric Computer;definition haptic Nepal;Norwegian wireless port;Coordinator invoice application;bifurcated;application;Ball strategic Cambridgeshire;navigating Card;Sleek Nakfa;Inverse array;parse feed;throughput Soap feed;Cameroon revolutionize strategic;Mission;Argentina Bermuda;state;generate online systems;program redundant;Ergonomic hardware Bedfordshire;Home Harbor;Trafficway Account Oregon;Officer Response Investment;SQL;compressing platforms Direct;copying;synthesize Gloves;Handcrafted Gloves;Bedfordshire;Intelligent
6;Refined e-markets;Clothing Rustic El;transmit Identity;Chips;management Small pink;Kentucky Awesome connect;Account;Automotive Mount Multi-tiered;Rustic magenta Administrator;partnerships;Locks Cook;synthesize needs-based Global;magnetic;reintermediate Computer Generic;Direct feed Usability;Jewelery Togo;Rhode Regional Soft;intranet Garden;Automotive;Factors primary Loan;Lead non-volatile calculate;architecture;array multi-byte;convergence knowledge structure;Coordinator Checking;multi-byte Credit;adapter Rustic;Guadeloupe;payment Gorgeous Montana
7;Checking Gorgeous;next-generation;Executive;Bedfordshire;Zimbabwe projection;Kwanza Brand;Buckinghamshire;Cross-group;Metal;neural;backing Pound South;convergence African;Intelligent calculating coherent;Cambridgeshire;open-source Wooden;didactic client-server Synergistic;Ball Auto boliviano;Agent;monitor Unbranded;Prairie Soap Rustic;encoding Towels;Orchestrator;Crescent;task-force;SCSI application Sleek;Gorgeous SQL;Refined Account;Borders bleeding-edge invoice;Assistant withdrawal
8;copying;Meadows Account;invoice;grey Plastic;override Proactive extranet;Chief Avon Savings;Mill;Consultant Bulgaria Rubber;Small empower;recontextualize;Steel parse;Alley payment;Chile compress;card Applications;Architect Producer;Ergonomic;South Steel alarm;capacitor Checking;AGP port;HTTP Netherlands ADP;magenta Wyoming flexibility;Buckinghamshire;Soft;Bike Pizza Falls;visionary leading-edge SAS;invoice;RSS middleware;engineer aggregate Triple-buffered;back-end
9;Optimized sky;Hawaii card optimizing;Wooden deliver;calculate Wooden;Coves;pixel olive;Iraqi Hat Avon;Home;Home Keyboard withdrawal;encoding;Alabama Pizza;Exclusive Tunnel Manager;Bedfordshire Up-sized withdrawal;solid;exploit Cotton calculating;Grocery Expressway Bedfordshire;collaboration Customer Associate;Handcrafted Phased Berkshire;Rial synthesizing neural;Legacy directional;web-readiness;e-commerce New Expressway;Senior;database;Concrete application invoice;Greece projection Unbranded;partnerships back Rubber;plum up;Pakistan
10;Account e-business Track;Samoa Internal;olive Gorgeous Books;Account;Research Pants pixel;Common Regional;Ball Liberia Tactics;Generic;Realigned;protocol;Georgia;actuating Towels product;Drive silver Dakota;salmon synthesize Borders;circuit global;IB;Tasty experiences;generating Outdoors;Strategist Argentine Netherlands;Square Sausages circuit;convergence payment back-end;XSS Gorgeous;navigating Shoes Borders;methodologies;mobile;Human synergize Alabama;tolerance;Grocery;Buckinghamshire invoice
