id;topic;type_of_topic;bl_record_id;type_of_resource;content_type;material_type;bnb_number;archival_resource_key;isbn;name;dates_associated_with_name;type_of_name;role;all_names;title;variant_titles;series_title;number_within_series;country_of_publication;place_of_publication;publisher;date_of_publication;edition;physical_description;dewey_classification;bl_shelfmark;genre;languages;notes;provenance
1;grid-enabled dot-com;Guadeloupe withdrawal;New;standardization;Overpass Metal;Estate Guinea U.S.;Belgium Towels Re-contextualized;Multi-lateral;project convergence;Direct Product;Corporate web-enabled full-range;Rial high-level;Investor;moderator;Islands Anguilla Books;open-source Multi-channelled Table;Wyoming bandwidth neural;Awesome Optimization;methodology;Fantastic;Assurance Delaware Borders;wireless Pants;Strategist Concrete withdrawal;withdrawal proactive;Handcrafted Soft Jewelery;empowering District;utilize;Buckinghamshire quantify Officer;Lead Baby invoice;enhance Program International
2;e-markets Metal Liaison;networks driver navigate;syndicate Borders Florida;web-readiness portals Nebraska;Sleek Granite Industrial;Architect interface Expressway;attitude;Investor Cape;Virginia;Avon;Wooden Communications;Uganda;Seamless Corporate Orchestrator;haptic Liaison;open-source;Clothing indexing Maine;Administrator;Mandatory Loan users;Response PNG Texas;Baby;blockchains Tasty;Clothing JBOD Steel;grey;web-enabled digital;exuding coherent;FTP Automotive Planner;Rubber Loan;Tokelau virtual Pizza;wireless compelling;redundant Orchestrator United
3;EXE iterate Arizona;overriding revolutionary;bandwidth;payment array Qatari;Table;Identity revolutionary;tertiary synthesize Gloves;forecast;generation Lead management;Somoni;interfaces best-of-breed Kansas;B2C;Customer Station Focused;red Regional;orange;Rubber virtual;extend;Synergized architectures Mississippi;red;up Customer;bandwidth;primary;Licensed;Loan Cambridgeshire;Western Belgium integrate;AI;model Egypt;Prairie Horizontal Music;embrace;users generation Sleek
4;frictionless Customer;moratorium;turn-key Borders New;instruction Wooden;deposit Savings;capacitor Account transitional;El;SQL Unbranded;Chair Gorgeous;service-desk;interface;Buckinghamshire Practical;Account payment e-tailers;Specialist green Switchable;Steel client-driven;Music;distributed Incredible;Decentralized Tools Fresh;Account copying Chief;quantifying;Lead deposit South;card compressing;Industrial lavender ivory;Assurance;Personal;Licensed Practical;Product;Tala grow applications;up revolutionary Mississippi;e-tailers
5;Peso;bypass;withdrawal optimizing lime;Multi-channelled deposit;archive;Frozen exploit Concrete;Games Loan;Mouse Functionality;global Berkshire Bahraini;administration Mauritania Chicken;Electronics Executive utilize;transmit Visionary Shoes;Tennessee cross-media Card;strategy PNG;Borders Tools;Mount;high-level Tasty partnerships;deposit holistic;Facilitator Advanced;bus Credit Towels;Leone copy green;Account Mobility;generate Factors;synergies;state;customized Dynamic Granite;Gloves Assistant;Salad Ergonomic Dinar;Customer;dot-com Neck scalable
6;Aruba;Berkshire;cyan;transmitter Wooden;Intelligent deposit pixel;Groves 24/365;connect Concrete Technician;deposit;Consultant;Borders Organized Concrete;Salad Afghanistan;Corporate invoice e-tailers;drive generation invoice;infrastructure;Extensions transmitting;Intuitive;copy FTP Rubber;back Grocery Arkansas;Infrastructure Intelligent Soft;client-driven Regional system-worthy;Multi-layered bluetooth circuit;User-friendly Guadeloupe;indexing Idaho optical;collaborative Planner Carolina;Bolivia;Jewelery sensor application;Corporate Fresh;Motorway;synergies Borders Louisiana;didactic
7;Dalasi Loan Program;bypass Garden;Plaza Buckinghamshire Lanka;Gorgeous Avon Indiana;reboot grow;platforms matrix;Handcrafted;Shoes payment;deposit magnetic;input;approach Manager Account;navigating Baby 1080p;workforce;Sharable Morocco GB;mesh;Key Plains Practical;port sticky ubiquitous;Engineer Car interfaces;e-markets;Metal;Burundi Soft Planner;calculate;Equatorial haptic;multimedia success Reactive;concept Manors Sports;CFA;Industrial;Future Metal;Cotton Avon;Synchronised bluetooth
8;Garden;Bike;Barbados static;calculate Team-oriented;Toys Account bypassing;24/7 Fully-configurable Licensed;Incredible Montana Loan;open-source;Strategist Upgradable;firewall;Lead Ngultrum;Islands;Belize synthesizing;deploy;Agent Mobility;Shoes ADP Engineer;RAM;Wooden;Shoes;utilisation;Metrics lime hack;Account Right-sized;purple;Fresh Kip;violet;impactful withdrawal Lead;Tools Music;withdrawal;Direct connecting;Security
9;Handcrafted;AGP;Music program;Jewelery National backing;port hacking;teal index;AGP Fresh Persevering;tan Cotton;Overpass Incredible;Clothing mobile;harness Auto;Tenge;Small;solutions blue application;deposit Liaison;Mauritius Pound;cyan;United;orange;Iowa Ethiopian;gold Games systemic;JBOD Connecticut;quantify Intelligent;Loan generate Missouri;Savings SAS;Moldova Car;Gloves partnerships Metal;optical Administrator;Martinique Forward Bedfordshire;Hat Clothing
10;matrix;conglomeration invoice microchip;reintermediate deposit Plastic;Tools Tasty;Arizona Engineer Principal;Garden withdrawal;Intelligent tan Burundi;parse system;transmitter Sleek Mississippi;Future;Guilder expedite York;knowledge Avon;multi-state;Incredible Frozen Viaduct;Slovakia panel;Granite Seychelles protocol;Shoes cyan;Executive;application;Metal Sleek Cuba;Borders clicks-and-mortar Rapid;Hampshire FTP;USB;Ergonomic Cambridgeshire;online;Car;17(E.U.A.-17);connect;Product;overriding Global
