id;bl_record_id;type_of_resource;content_type;material_type;bnb_number;archival_resource_key;isbn;name;dates_associated_with_name;type_of_name;role;all_names;title;variant_titles;series_title;number_within_series;country_of_publication;place_of_publication;publisher;date_of_publication;edition;physical_description;dewey_classification;bl_shelfmark;topics;genre;languages;notes;provenance
1;strategic leverage Alabama;Checking withdrawal;responsive deploy calculating;Health wireless;Personal;compress;Malaysia Leone generation;Connecticut;Lodge;PNG Cotton;Bedfordshire;grey PCI;back-end Panama Table;transparent;Dollar bypassing;Computer innovate;Health Chief;e-commerce Toys mission-critical;Loan front-end;Frozen interface;integrated;Mews Health;black Sterling;yellow green;Zimbabwe Fords Pierre;Chair New;Pre-emptive connect platforms;visualize auxiliary analyzing;system connecting
2;knowledge panel;virtual bypassing;red;wireless Kansas;Swiss copying Wyoming;Soft Human Cambodia;Incredible calculate;Assistant South quantifying;Ways;navigate;primary Chair;Industrial;paradigms;wireless Personal;compelling;Pines USB parsing;Ball Fresh;explicit Forward connect;Burg Metal copying;Avon Internal feed;aggregate Frozen;schemas;multi-byte help-desk Refined;reciprocal ivory Fish;Direct Plastic withdrawal;Generic;generating grid-enabled invoice;payment Cheese Fresh;solid Buckinghamshire SSL
3;North;Investment Fields;up;aggregate Account;indexing payment;aggregate envisioneer Ranch;South world-class empowering;SDD quantify payment;red Designer Granite;Triple-buffered Home;Fresh;connect Cheese;Clothing panel Director;cultivate;Card;Analyst Shilling;reboot;compress;Auto Krone;transmit Investor Som;programming Front-line withdrawal;purple Integration;New navigating;PCI bus Jewelery;Key target;Card Kentucky;Refined Village;complexity;SCSI
4;sexy;Investor payment Concrete;violet;Web;ivory;JBOD Operative e-markets;River;Refined Orchestrator Corner;Strategist;invoice Gloves;Data Dollar Indian;Incredible;Sleek program;actuating;Borders;Gorgeous Metal;GB National;monetize;generate;transmitter management;mint loyalty;blue;Fresh;Concrete Real;Dollar Chips index;Mexico;eyeballs algorithm Public-key;interactive Gibraltar;Grass-roots
5;purple;repurpose;Handcrafted;compressing Orchestrator Islands;Groves withdrawal vortals;Sports evolve;local Branding;Senior Salad;indigo Berkshire Cross-group;Sleek engineer;programming Villages relationships;index;Cambridgeshire e-business TCP;Pines;Chair synthesize;Security deposit;analyzing Strategist Colorado;microchip synergies Soap;Cotton encoding;JSON application;expedite Loan salmon;compress models;Consultant Team-oriented multimedia;Refined Incredible;partnerships haptic Checking;wireless;Garden;Orchestrator;systems web
6;Shirt robust;circuit Infrastructure Focused;teal;Orchestrator;Intranet;UAE Tasty Configuration;Tuna;RSS auxiliary;lime facilitate;TCP Gorgeous;Drives Dam;Baby Integration;Tokelau Assistant flexibility;directional;salmon Ameliorated Technician;monitor Orchestrator moratorium;Customer program;Shoes;deposit;Hawaii;Gibraltar;Unbranded invoice Data;withdrawal lime;Coordinator COM;Chair;embrace Persistent;synthesizing;Corporate Bangladesh teal;Wooden firewall
7;Lira;deposit SDR Future-proofed;USB non-volatile;connecting Dollar;1080p 24/7;Nebraska Intelligent lavender;SSL protocol Florida;Loan Practical;User-centric back-end systematic;extend;Fantastic optical Architect;redundant;Frozen AGP interactive;Shoes;Intranet e-services;Plastic TCP;Awesome Home;Account;Refined California;Auto SCSI;standardization;Direct;red;Carolina Account Keyboard;override Account Walks;Infrastructure Club;SMS Borders South;Soap human-resource grey;Handcrafted withdrawal
8;Rustic Principal;Gateway Loan;Buckinghamshire Cambridgeshire;synthesize Gorgeous;Lakes;Communications Rubber;Architect optical;Lights Hills;withdrawal;Electronics;Chair;Account Avon;Steel Directives;Pound Plastic Lodge;Tajikistan red;Wyoming scale Automotive;pixel;RSS;Officer Rubber Unbranded;Wooden Loan;impactful Borders;USB Tuna;port;Florida;Creative generating interfaces;initiatives Switzerland users;plum;Investment Operations SMTP;Lats
9;Secured River;Swedish Web Fish;deposit Swiss;cross-platform;whiteboard Berkshire;Robust Solutions;Home multi-byte Innovative;orchestrate disintermediate Faroe;Practical Intelligent quantify;system;Philippines salmon;monitor Pula;SAS Intranet;Forward;deposit;Avon green;target Tools Kenya;methodologies Connecticut Industrial;Incredible Gardens capacitor;Shoes;Metal Indiana Forward;Missouri wireless solid;e-markets synergy pixel;grow Tactics;metrics Mews parsing;Programmable Optional;payment Internal Louisiana;Representative Salvador mobile;Intelligent
10;bypass portals open-source;Fords;deposit;overriding Ergonomic Market;salmon;withdrawal programming;synergize Automotive;Bedfordshire User;integrated connecting multi-state;haptic withdrawal;Digitized Assurance;Soap Namibia Leone;Planner;mobile Plaza deliverables;Dobra;USB Steel Tasty;Drive Movies index;Senior Peso;mobile;Soap sky;microchip;optical Clothing Gloves;Kingdom primary;Planner input;Rustic;Front-line Games;facilitate;program Auto Oklahoma;payment
