id;dewey_classification;bl_record_id;type_of_resource;content_type;material_type;bnb_number;archival_resource_key;isbn;name;dates_associated_with_name;type_of_name;role;all_names;title;variant_titles;series_title;number_within_series;country_of_publication;place_of_publication;publisher;date_of_publication;edition;physical_description;bl_shelfmark;topics;genre;languages;notes;provenance
1;compressing Steel;Small Supervisor;Sports calculating;Maryland Synergistic Customer;Berkshire Ford Salad;rich Automotive;enable Branch;Awesome;synergies Arizona;primary Kentucky;mission-critical generating neutral;Pants reintermediate Generic;Kwacha optical;up;Generic Georgia back-end;Pants;Metical;Web strategic Rubber;Ergonomic silver;driver markets exploit;reboot ROI Forks;client-driven;Human background;Coordinator cross-platform;solid ROI orange;web-readiness;even-keeled;transmit Auto;Engineer revolutionize
2;Assistant Metal robust;Rustic;Account invoice Mississippi;Metal;Rubber;Sausages architect;GB CSS AI;Virginia;withdrawal;AI Pass;Account red;Producer;AGP;extend;withdrawal auxiliary;architect;Outdoors;ability Sleek;Hampshire Centers overriding;Dynamic;Account Specialist;Loan Wooden cultivate;impactful Island invoice;directional utilisation;mesh;Planner;copying Specialist;Games Granite;Dynamic Checking yellow
3;feed HDD Michigan;transmit PCI;Beauty users;online;synthesize;Lights;Virtual benchmark;lime;Buckinghamshire connecting;calculate;Optimization;override;embrace;FTP digital multi-tasking;standardization Senior;Steel port;bandwidth-monitored;intangible;explicit;IB cross-platform;Practical Bacon connecting;streamline Quality solid;programming teal strategize;User-centric hard Devolved;Rustic Savings HDD;Creek Lempira models;Factors Shoes;Division Soft Human;navigating Seamless SDD
4;Practical Dollar;Account;Rico Lead;application;Interactions Progressive generate;optimize open-source Mews;Money;Car;deposit Islands payment;solutions;Industrial;orange Surinam purple;overriding Architect;invoice;Gorgeous index;magnetic infomediaries withdrawal;Gorgeous;initiative;synthesizing;monitor Frozen;card;Manager;blockchains Chicken e-enable;Gloves;Bacon synthesize;exuding redundant action-items;impactful black;Buckinghamshire Tools Louisiana;Metal Generic
5;Credit;Chips National matrix;Mobility Clothing Borders;markets Practical;purple;frictionless HDD circuit;protocol Right-sized;Right-sized;Rustic collaboration deposit;Yen Ohio panel;Plastic;Pizza enable;Cambridgeshire Optional;Practical Park;state Credit neutral;Shoes Guinea;Checking explicit;encompassing;neural;exploit Card;deposit digital visionary;copying;Drive B2B;Chair Assimilated;projection Industrial exuding;Checking white;Buckinghamshire enhance;silver wireless Aruban;Program
6;human-resource bluetooth Intelligent;payment HDD Account;mobile;SMTP;Forward Gorgeous Borders;synthesizing Account;Platinum;compressing Health web-enabled;Profound;Ball;Buckinghamshire;Jersey;Virginia Account Rupee;Loan;card intangible Research;Carolina;Wooden relationships;Paradigm;Ergonomic;navigate indexing;Generic Granite;Rubber Anguilla Analyst;Legacy;cross-platform Senior target;Shoes Metical;Cambridgeshire Cross-group;Rupee benchmark Specialist;Bedfordshire;integrate Mouse Cambridgeshire
7;JBOD Ports Pennsylvania;Shoes Re-contextualized invoice;Toys;Circle calculate;TCP withdrawal Pizza;seize success;Communications;Croatian;copy Agent Bike;user-centric;systems Polarised;copy;Concrete withdrawal background;Panama Berkshire solid;Franc Pound Loan;EXE Dollar;PCI International;gold;JSON approach;Facilitator;quantify hybrid Berkshire;Electronics;Business-focused transmitting Granite;extensible extend;white;Cape;payment hack Plastic;withdrawal;tan cyan Data
8;Generic green Customizable;copying Associate;Grenada functionalities COM;transform Account drive;protocol Springs;driver matrix;Director;Assistant;XML Helena;JSON;complexity Ruble HTTP;leverage Cotton seize;Buckinghamshire Maryland;Intelligent Facilitator Licensed;Oro holistic yellow;Dynamic;Manors;model Israeli Regional;Indiana neural solutions;Philippine Handmade;Pre-emptive Rustic Croatia;Martinique up Avon;Tasty Paradigm;Total Chips Chicken;Multi-layered black Streamlined;Steel auxiliary network;Electronics Cross-group;Handmade HDD magenta;Legacy Mozambique
9;Garden;cultivate models;Dynamic;Illinois Wyoming;Gloves;payment incubate;Planner Crescent Beauty;24/365 Greenland;back-end platforms integrate;efficient Licensed;Sports Ergonomic enable;Integration driver National;deposit Orchestrator Persevering;Analyst experiences;Movies;redundant bandwidth-monitored;Verde Direct;black Infrastructure;Chicken implementation Central;Slovenia capability generating;payment;feed;programming Pants;North reinvent Program;Strategist Dynamic Hat;Dollar application;Sausages;Steel;improvement
10;UIC-Franc;Cambridgeshire Metal;Auto transparent Liechtenstein;Berkshire;brand;Electronics;Computer Unbranded Cambridgeshire;Somoni;Avon grow;Pizza;Ohio matrices;District motivating PCI;utilisation implement Clothing;Berkshire array compelling;Triple-buffered;Solutions;input emulation AI;customer Loan Frozen;Gloves digital;sensor;frame;Creative Ergonomic whiteboard;Delaware Bacon bypass;facilitate neural-net Lesotho;Buckinghamshire;Chips Sausages;Fresh engine;Paradigm;back-end azure THX
